taxon_1	taxon_2	distance_KM	DNA	Morph
Mro_554_01	Mir_376_01	120.7	0.10668482	0.70711291
Mpi_508_01	Mir_376_01	158.8	0.201119709	0.83647812
Mpi_508_03	Mir_376_01	158.8	0.201119709	0.85569624
Mpr_404_03	Mir_376_01	144.9	0.110003402	0.54201139
Msi_553_01	Mir_376_01	134.7	0.104675039	0.52544675
Msi_553_05	Mir_376_01	134.7	0.106534706	0.55827107
Mst_510_01	Mir_376_01	173.6	0.104831219	0.88393915
Mjn_383_01	Mjn_382_02	0	0.026364961	0.4566548
Mwe_350_01	Mjn_382_02	69.6	0.121353632	0.70379224
Mpa_392_01	Mjn_382_02	47.3	0.128013416	0.69248016
Mir_376_01	Mjn_382_02	16.2	0.112537403	0.57626672
Mrl_381_01	Mjn_382_02	1.3	0.121284193	0.74537753
Mdo_537_01	Mjn_382_02	143.5	0.152977538	0.60500121
Mfa_507_01	Mjn_382_02	142.8	0.128100293	0.49147591
Mks_401_01	Mjn_382_02	99.4	0.106349967	0.65746312
Mro_554_01	Mjn_382_02	112.1	0.102899737	0.75898717
Mpi_508_01	Mjn_382_02	143.1	0.108294854	0.45939892
Mpi_508_03	Mjn_382_02	143.1	0.108294854	0.45939892
Mpr_404_03	Mjn_382_02	131.4	0.113116956	0.79924901
Msi_553_01	Mjn_382_02	125.5	0.116597716	0.29721852
Msi_553_05	Mjn_382_02	125.5	0.116685272	0.3124568
Mst_510_01	Mjn_382_02	158.9	0.110085842	1.0085234
Mwe_350_01	Mjn_383_01	69.6	0.123429743	0.57110134
Mpa_392_01	Mjn_383_01	47.3	0.136929702	0.66679567
Mir_376_01	Mjn_383_01	16.2	0.117714559	0.4285091
Mrl_381_01	Mjn_383_01	1.3	0.101865756	0.48487417
Mdo_537_01	Mjn_383_01	143.5	0.154556603	0.46107453
Mfa_507_01	Mjn_383_01	142.8	0.14771982	0.70838809
Mks_401_01	Mjn_383_01	99.4	0.119505583	0.70882286
Mro_554_01	Mjn_383_01	112.1	0.110944242	0.7882059
Mpi_508_01	Mjn_383_01	143.1	0.111566283	0.3759733
Mpi_508_03	Mjn_383_01	143.1	0.111566283	0.3759733
Mpr_404_03	Mjn_383_01	131.4	0.113032374	0.67752891
Msi_553_01	Mjn_383_01	125.5	0.124174031	0.42536595
Msi_553_05	Mjn_383_01	125.5	0.109566519	0.49848399
Mst_510_01	Mjn_383_01	158.9	0.13517655	0.80320097
Mro_554_01	Mks_401_01	16.6	0.003607596	0.43686951
Mpi_508_01	Mks_401_01	64.7	0.080722065	0.70761639
Mpi_508_03	Mks_401_01	64.7	0.080722065	0.60825737
Mpr_404_03	Mks_401_01	44.4	0.071861175	0.45422582
Msi_553_01	Mks_401_01	36.5	0.08538592	0.63123543
Msi_553_05	Mks_401_01	36.5	0.06855242	0.66590303
Mst_510_01	Mks_401_01	78	0.105493829	0.71494163
Mir_376_01	Mpa_392_01	62.3	0.147985639	0.83265924
Mrl_381_01	Mpa_392_01	49.1	0.073319846	0.53307793
Mdo_537_01	Mpa_392_01	104.5	0.138353237	1.0037486
Mfa_507_01	Mpa_392_01	105.3	0.180527007	0.81170341
Mks_401_01	Mpa_392_01	79.5	0.143944812	0.81704227
Mro_554_01	Mpa_392_01	84.6	0.130207897	1.0173014
Mpi_508_01	Mpa_392_01	105.2	0.27812451	0.92214047
Mpi_508_03	Mpa_392_01	105.2	0.202942997	0.96430853
Mpr_404_03	Mpa_392_01	97.5	0.147918044	0.85783994
Msi_553_01	Mpa_392_01	95	0.1460468	0.45996833
Msi_553_05	Mpa_392_01	95	0.126871514	0.51039732
Mst_510_01	Mpa_392_01	119.4	0.154525667	1.0409485
Mpi_508_03	Mpi_508_01	0	0.208551532	0.57911522
Mpr_404_03	Mpi_508_01	21.7	0.09255216	0.80262114
Msi_553_01	Mpi_508_01	29.6	0.095830528	0.55721146
Msi_553_05	Mpi_508_01	29.6	0.089151978	0.64283308
Mst_510_01	Mpi_508_01	17.3	0.035927834	0.69307952
Mpr_404_03	Mpi_508_03	21.7	0.09255216	0.67519165
Msi_553_01	Mpi_508_03	29.6	0.095830528	0.40937338
Msi_553_05	Mpi_508_03	29.6	0.089151978	0.49338773
Mst_510_01	Mpi_508_03	17.3	0.035927834	0.68728576
Msi_553_01	Mpr_404_03	8.4	0.013867348	0.69367254
